,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
339,17,6,16,9,4,0,1,28,2,0.868,0.782,0,9,4,1,7,17,417,2,0.564,0,6,1,3,0,13,0,8,24,0,0.603,0.218,0,4,1,0,18,8,116,2,0.533,1,1,0
340,15,3,9,4,13,0,6,37,1,0.582,0.289,0,6,1,0,12,8,153,0,0.462,2,19,2,23,12,3,0,7,32,1,0.844,0.711,0,8,2,0,9,7,377,2,1.437,1,2,0
341,22,1,17,14,6,1,6,35,0,0.834,0.597,0,5,0,0,15,14,289,3,0.243,1,12,6,12,6,5,0,8,31,0,0.656,0.403,0,6,2,0,12,22,195,0,0.31,1,0,1
342,14,6,5,5,4,1,5,23,1,0.9,0.697,0,14,6,0,5,7,430,3,1.065,0,18,2,5,2,4,1,5,35,0,0.759,0.303,0,4,1,0,6,6,187,2,0.772,1,2,0
343,27,6,17,12,8,1,3,33,2,0.876,0.788,0,7,4,0,10,12,379,3,0.611,2,9,1,10,4,6,1,11,33,0,0.598,0.212,0,2,0,0,15,6,102,1,0.108,1,0,0
344,10,4,14,5,8,0,5,33,1,0.722,0.321,0,3,0,0,16,7,194,1,0.255,1,16,3,13,4,2,0,1,24,1,0.869,0.679,0,4,0,0,19,16,411,2,0.291,0,0,0
345,19,0,11,7,13,2,7,27,0,0.851,0.323,0,10,2,0,12,7,175,4,1.232,1,11,1,12,9,5,2,7,22,0,0.893,0.677,0,8,4,0,4,6,366,3,0.878,0,2,0
346,20,5,12,5,11,0,4,44,0,0.717,0.473,0,6,1,0,11,3,240,2,0.825,0,17,0,11,7,6,2,5,36,3,0.757,0.527,0,5,1,0,12,14,267,4,1.62,0,2,2
347,17,4,7,5,7,1,0,43,1,0.672,0.33,0,5,2,0,11,8,174,2,0.668,0,16,1,13,10,7,0,4,29,2,0.856,0.67,0,6,0,0,11,12,354,4,0.313,0,1,1
348,16,1,7,2,5,1,6,35,0,0.761,0.38,0,5,0,0,11,8,201,1,0.363,1,24,3,12,7,8,1,2,32,1,0.878,0.62,0,2,0,0,9,7,328,1,0.208,2,1,0
