,1 Corners,1 Fouls Committed,1 Fouls Wons,1 Goals,1 Offsides,1 Pass Completion,1 Possesion,1 Red Cards,1 Shot Attempts,1 Shots Blocked,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Under Pressure,1 Yellow Cards,2 Corners,2 Fouls Committed,2 Fouls Wons,2 Goals,2 Offsides,2 Pass Completion,2 Possesion,2 Red Cards,2 Shot Attempts,2 Shots Blocked,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Under Pressure,2 Yellow Cards,winner,fh winner
500,1,6,1,2,1,0.594,0.262,0,3,0,106,0,0.24414042,0.208,0,1,0,9,1,3,0.795,0.738,0,8,1,298,3,1.268131154,0.164,1,0,1
501,4,3,5,2,3,0.654,0.432,0,7,0,185,2,1.0729683410000002,0.178,1,3,1,7,1,1,0.765,0.568,0,7,2,243,1,0.6039251969999999,0.247,1,0,1
502,2,1,3,1,0,0.756,0.444,0,12,2,205,3,0.9105363806000001,0.059,0,3,0,1,2,1,0.763,0.556,0,5,0,257,1,0.983749682,0.066,0,1,2
503,7,1,5,4,2,0.879,0.701,0,16,4,373,4,2.389866713,0.072,1,0,3,4,0,2,0.723,0.299,0,0,0,159,0,0.0,0.107,3,1,1
504,1,4,2,0,3,0.807,0.599,1,6,1,238,0,0.499455439,0.16,1,1,1,7,0,0,0.673,0.401,0,0,0,159,0,0.0,0.101,1,2,0
505,3,0,3,0,1,0.855,0.71,0,7,3,365,1,1.063560556,0.11,1,1,1,3,0,0,0.591,0.29,0,0,0,149,0,0.0,0.228,1,1,0
506,1,1,2,0,1,0.703,0.353,0,8,0,182,3,0.5789006430000001,0.203,0,0,0,4,1,2,0.835,0.647,0,9,4,334,2,0.540971349,0.105,1,2,2
507,3,1,3,1,2,0.778,0.408,0,3,0,212,1,0.5243134199999999,0.156,1,1,1,2,3,2,0.85,0.592,0,10,0,307,6,1.7780574939999998,0.147,2,2,2
508,3,1,4,0,3,0.873,0.768,0,5,1,424,3,0.26230361299999994,0.203,0,0,1,2,0,2,0.602,0.232,0,0,0,128,0,0.0,0.18,1,0,0
509,1,1,1,0,0,0.677,0.284,0,2,1,130,0,0.050988382,0.162,2,13,0,3,2,0,0.845,0.716,0,14,6,328,1,1.738066562,0.076,0,2,2
